Id,Source,Target,Type
355,6,2,directed
356,6,2,directed
357,6,2,directed
358,6,2,directed
359,6,2,directed
360,6,2,directed
361,6,2,directed
362,6,2,directed
363,6,2,directed
364,6,2,directed
365,6,2,directed
366,6,2,directed
367,6,2,directed
368,6,2,directed
369,6,2,directed
370,6,2,directed
371,6,2,directed
372,6,2,directed
373,6,2,directed
374,6,2,directed
375,6,2,directed
376,6,2,directed
377,6,2,directed
378,6,2,directed
379,6,2,directed
380,6,2,directed
381,6,2,directed
382,6,2,directed
383,6,2,directed
384,6,2,directed
385,6,2,directed
386,6,2,directed
387,6,2,directed
388,6,2,directed
389,6,2,directed
390,6,2,directed
391,6,2,directed
392,6,2,directed
393,6,2,directed
394,6,2,directed
395,6,2,directed
396,6,2,directed
397,6,2,directed
398,6,2,directed
399,6,2,directed
400,6,2,directed
401,6,2,directed
402,6,2,directed
403,6,2,directed
404,6,2,directed
405,6,2,directed
406,6,2,directed
407,6,2,directed
408,6,2,directed
409,6,2,directed
410,6,2,directed
411,6,2,directed
412,6,2,directed
413,6,2,directed
414,6,2,directed
415,6,2,directed
416,6,2,directed
417,6,2,directed
418,6,2,directed
419,6,2,directed
420,6,2,directed
421,6,2,directed
422,6,2,directed
423,6,2,directed
424,6,2,directed
425,6,2,directed
426,6,2,directed
427,6,2,directed
428,6,2,directed
429,6,2,directed
430,6,2,directed
431,6,2,directed
432,6,2,directed
433,6,2,directed
434,6,2,directed
435,6,2,directed
436,6,2,directed
437,6,2,directed
438,6,2,directed
439,6,2,directed
440,6,2,directed
441,6,2,directed
442,6,2,directed
443,6,2,directed
444,6,2,directed
445,6,2,directed
446,6,2,directed
447,6,2,directed
448,6,2,directed
449,6,2,directed
450,6,2,directed
451,6,2,directed
452,6,2,directed
453,6,2,directed
454,6,2,directed
455,6,2,directed
456,6,2,directed
457,6,2,directed
458,6,2,directed
459,6,2,directed
460,6,2,directed
461,6,2,directed
462,6,2,directed
463,6,2,directed
464,6,2,directed
465,6,2,directed
466,6,2,directed
467,6,2,directed
468,6,2,directed
469,6,2,directed
470,6,2,directed
471,6,2,directed
472,6,2,directed
473,6,2,directed
474,6,2,directed
475,6,2,directed
476,6,2,directed
477,6,2,directed
478,6,2,directed
479,6,2,directed
480,6,2,directed
481,6,2,directed
482,6,2,directed
483,6,2,directed
484,6,2,directed
485,6,2,directed
486,6,2,directed
487,6,2,directed
488,6,2,directed
489,6,2,directed
490,6,2,directed
491,6,2,directed
492,6,2,directed
493,6,2,directed
494,6,2,directed
495,6,2,directed
496,6,2,directed
497,6,2,directed
498,6,2,directed
499,6,2,directed
500,6,2,directed
501,6,2,directed
502,6,2,directed
503,6,2,directed
504,6,2,directed
505,6,2,directed
506,6,2,directed
507,6,2,directed
508,6,2,directed
509,6,2,directed
510,6,2,directed
511,6,2,directed
512,6,2,directed
513,6,2,directed
514,6,2,directed
515,6,2,directed
516,6,2,directed
517,6,2,directed
518,6,2,directed
519,6,2,directed
520,6,2,directed
521,6,2,directed
522,6,2,directed
523,6,2,directed
524,6,2,directed
525,6,2,directed
526,6,2,directed
527,6,2,directed
528,6,2,directed
529,6,2,directed
530,6,2,directed
531,6,2,directed
532,6,2,directed
533,6,2,directed
534,6,2,directed
535,6,2,directed
536,6,2,directed
537,6,2,directed
538,6,2,directed
539,6,2,directed
540,6,2,directed
541,6,2,directed
542,6,2,directed
543,6,2,directed
544,6,2,directed
545,6,2,directed
546,6,2,directed
547,6,2,directed
548,6,2,directed
549,6,2,directed
550,6,2,directed
551,6,2,directed
552,6,2,directed
553,6,2,directed
554,6,2,directed
555,6,2,directed
556,6,2,directed
557,6,2,directed
558,6,2,directed
559,6,2,directed
560,6,2,directed
561,6,2,directed
562,6,2,directed
563,6,2,directed
564,6,2,directed
565,6,2,directed
566,6,2,directed
567,6,2,directed
568,6,2,directed
569,6,2,directed
570,6,2,directed
571,6,2,directed
572,6,2,directed
573,6,2,directed
574,6,2,directed
575,6,2,directed
576,6,2,directed
577,6,2,directed
578,6,2,directed
579,6,2,directed
580,6,2,directed
581,6,2,directed
582,6,2,directed
583,6,2,directed
584,6,2,directed
585,6,2,directed
586,6,2,directed
587,6,2,directed
588,6,2,directed
589,6,2,directed
590,6,2,directed
591,6,2,directed
592,6,2,directed
593,6,2,directed
594,6,2,directed
595,6,2,directed
596,6,2,directed
597,6,2,directed
598,6,2,directed
599,6,2,directed
600,6,2,directed
601,6,2,directed
602,6,2,directed
603,6,2,directed
604,6,2,directed
605,6,2,directed
606,6,2,directed
607,6,2,directed
608,6,2,directed
609,6,2,directed
610,6,2,directed
611,6,2,directed
612,6,2,directed
613,6,2,directed
614,6,2,directed
615,6,2,directed
616,6,2,directed
617,6,2,directed
618,6,2,directed
619,6,2,directed
620,6,2,directed
621,6,2,directed
622,6,2,directed
623,6,2,directed
624,6,2,directed
625,6,2,directed
626,6,2,directed
627,6,2,directed
628,6,2,directed
629,6,2,directed
630,6,2,directed
631,6,2,directed
632,6,2,directed
633,6,2,directed
634,6,2,directed
635,6,2,directed
636,6,2,directed
637,6,2,directed
638,6,2,directed
639,6,2,directed
640,6,2,directed
641,6,2,directed
642,6,2,directed
643,6,2,directed
644,6,2,directed
645,6,2,directed
646,6,2,directed
647,6,2,directed
648,6,2,directed
649,6,2,directed
650,6,2,directed
651,6,2,directed
652,6,2,directed
653,6,2,directed
654,6,2,directed
655,6,2,directed
656,6,2,directed
657,6,2,directed
658,6,2,directed
659,6,2,directed
660,6,2,directed
661,6,2,directed
662,6,2,directed
663,6,2,directed
664,6,2,directed
665,6,2,directed
666,6,2,directed
667,6,2,directed
668,6,2,directed
669,6,2,directed
670,6,2,directed
671,6,2,directed
672,6,2,directed
673,6,2,directed
674,6,2,directed
675,6,2,directed
676,6,2,directed
677,6,2,directed
678,6,2,directed
679,6,2,directed
680,6,2,directed
681,6,2,directed
682,6,2,directed
683,6,2,directed
684,6,2,directed
685,6,2,directed
686,6,2,directed
687,6,2,directed
688,6,2,directed
689,6,2,directed
690,6,2,directed
691,6,2,directed
692,6,2,directed
693,6,2,directed
694,6,2,directed
695,6,2,directed
696,6,2,directed
697,6,2,directed
698,6,2,directed
699,6,2,directed
700,6,2,directed
701,6,2,directed
702,6,2,directed
703,6,2,directed
704,6,2,directed
705,6,2,directed
706,6,2,directed
707,6,2,directed
708,6,2,directed
709,6,2,directed
710,6,2,directed
711,6,2,directed
712,6,2,directed
713,6,2,directed
714,6,2,directed
715,6,2,directed
716,6,2,directed
717,6,2,directed
718,6,2,directed
719,6,2,directed
720,6,2,directed
721,6,2,directed
722,6,2,directed
723,6,2,directed
724,6,2,directed
725,6,2,directed
726,6,2,directed
727,6,2,directed
728,6,2,directed
729,6,2,directed
730,6,2,directed
731,6,2,directed
732,6,2,directed
733,6,2,directed
734,6,2,directed
735,6,2,directed
736,6,2,directed
737,6,2,directed
738,6,2,directed
739,6,2,directed
740,6,2,directed
741,6,2,directed
742,6,2,directed
743,6,2,directed
744,6,2,directed
745,6,2,directed
746,6,2,directed
747,6,2,directed
748,6,2,directed
749,6,2,directed
750,6,2,directed
751,6,2,directed
752,6,2,directed
753,6,2,directed
754,6,2,directed
755,6,2,directed
756,6,2,directed
757,6,2,directed
758,6,2,directed
759,6,2,directed
760,6,2,directed
761,6,2,directed
762,6,2,directed
763,6,2,directed
764,6,2,directed
765,6,2,directed
766,6,2,directed
767,6,2,directed
768,6,2,directed
769,6,2,directed
770,6,2,directed
771,6,2,directed
772,6,2,directed
773,6,2,directed
774,6,2,directed
775,6,2,directed
776,6,2,directed
777,6,2,directed
778,6,2,directed
779,6,2,directed
780,6,2,directed
781,6,2,directed
782,6,2,directed
783,6,2,directed
784,6,2,directed
785,6,2,directed
786,6,2,directed
787,6,2,directed
788,6,2,directed
789,6,2,directed
790,6,2,directed
791,6,2,directed
792,6,2,directed
793,6,2,directed
794,6,2,directed
795,6,2,directed
796,6,2,directed
797,6,2,directed
798,6,2,directed
799,6,2,directed
800,6,2,directed
801,6,2,directed
802,6,2,directed
803,6,2,directed
804,6,2,directed
805,6,2,directed
806,6,2,directed
807,6,2,directed
808,6,2,directed
809,6,2,directed
810,6,2,directed
811,6,2,directed
812,6,2,directed
813,6,2,directed
814,6,2,directed
815,6,2,directed
816,6,2,directed
817,6,2,directed
818,6,2,directed
819,6,2,directed
820,6,2,directed
821,6,2,directed
822,6,2,directed
823,6,2,directed
824,6,2,directed
825,6,2,directed
826,6,2,directed
827,6,2,directed
828,6,2,directed
829,6,2,directed
830,6,2,directed
831,6,2,directed
832,6,2,directed
833,6,2,directed
834,6,2,directed
835,6,2,directed
836,6,2,directed
837,6,2,directed
838,6,2,directed
839,6,2,directed
840,6,2,directed
841,6,2,directed
842,6,2,directed
843,6,2,directed
844,6,2,directed
845,6,2,directed
846,6,2,directed
847,6,2,directed
848,6,2,directed
849,6,2,directed
850,6,2,directed
851,6,2,directed
852,6,2,directed
853,6,2,directed
854,6,2,directed
855,6,2,directed
856,6,2,directed
857,6,2,directed
858,6,2,directed
859,6,2,directed
860,6,2,directed
861,6,2,directed
862,6,2,directed
863,6,2,directed
864,6,2,directed
865,6,2,directed
866,6,2,directed
867,6,2,directed
868,6,2,directed
869,6,2,directed
870,6,2,directed
871,6,2,directed
872,6,2,directed
873,6,2,directed
874,6,2,directed
875,6,2,directed
876,6,2,directed
877,6,2,directed
878,6,2,directed
879,6,2,directed
880,6,2,directed
881,6,2,directed
882,6,2,directed
883,6,2,directed
884,6,2,directed
885,6,2,directed
886,6,2,directed
887,6,2,directed
888,6,2,directed
889,6,2,directed
890,6,2,directed
891,6,2,directed
892,6,2,directed
893,6,2,directed
894,6,2,directed
895,6,2,directed
896,6,2,directed
897,6,2,directed
898,6,2,directed
899,6,2,directed
900,6,2,directed
901,6,2,directed
902,6,2,directed
903,6,2,directed
904,6,2,directed
905,6,2,directed
906,6,2,directed
907,6,2,directed
908,6,2,directed
909,6,2,directed
910,6,2,directed
911,6,2,directed
912,6,2,directed
913,6,2,directed
914,6,2,directed
915,6,2,directed
916,6,2,directed
917,6,2,directed
918,6,2,directed
919,6,2,directed
920,6,2,directed
921,6,2,directed
922,6,2,directed
923,6,2,directed
924,6,2,directed
925,6,2,directed
926,6,2,directed
927,6,2,directed
928,6,2,directed
929,6,2,directed
930,6,2,directed
931,6,2,directed
932,6,2,directed
933,6,2,directed
934,6,2,directed
935,6,2,directed
936,6,2,directed
937,6,2,directed
938,6,2,directed
939,6,2,directed
940,6,2,directed
941,6,2,directed
942,6,2,directed
943,6,2,directed
944,6,2,directed
945,6,2,directed
946,6,2,directed
947,6,2,directed
948,6,2,directed
949,6,2,directed
950,6,2,directed
951,6,2,directed
952,6,2,directed
953,6,2,directed
954,6,2,directed
955,6,2,directed
956,6,2,directed
957,6,2,directed
958,6,2,directed
959,6,2,directed
960,6,2,directed
961,6,2,directed
962,6,2,directed
963,6,2,directed
964,6,2,directed
965,6,2,directed
966,6,2,directed
967,6,2,directed
968,6,2,directed
969,6,2,directed
970,6,2,directed
971,6,2,directed
972,6,2,directed
973,6,2,directed
974,6,2,directed
975,6,2,directed
976,6,2,directed
977,6,2,directed
978,6,2,directed
979,6,2,directed
980,6,2,directed
981,6,2,directed
982,6,2,directed
983,6,2,directed
984,6,2,directed
985,6,2,directed
986,6,2,directed
987,6,2,directed
988,6,2,directed
989,6,2,directed
