Id,Label
1,Hong Kong
2,China
3,Bahamas
4,Belize
5,British Anguilla
6,British Virgin Islands
7,Cayman Islands
8,Cook Islands
9,Nevada
10,Niue
11,Panama
12,Samoa
13,Seychelles
14,Singapore
15,Undetermined
16,Mauritius,,
17,Not identified,,
18,Saint Kitts and Nevis,,
19,Thailand,,
20,Turks and Caicos Islands,,

,,,
,,,
,,,
